学生序号,题号,Activity时间,Answer时间,时间差
12,114,2017-6-18 13:27:25,2017-06-18 13:27:40,15
12,112,2017-6-18 13:18:16,2017-06-18 13:24:44,388
20,114,2017-6-18 09:28:53,2017-06-18 09:29:03,10
31,109,2017-6-18 04:49:28,2017-06-18 05:03:18,830
31,108,2017-6-18 04:49:10,2017-06-18 04:49:15,5
31,107,2017-6-18 04:48:51,2017-06-18 04:48:57,6
31,106,2017-6-18 04:48:16,2017-06-18 04:48:33,17
74,112,2017-6-18 02:21:42,2017-06-18 02:21:48,6
74,113,2017-6-18 02:18:12,2017-06-18 02:18:31,19
53,112,2017-6-18 01:25:54,2017-06-18 01:28:15,141
53,111,2017-6-18 01:20:07,2017-06-18 01:24:19,252
53,105,2017-6-18 01:14:08,2017-06-18 01:20:02,354
51,105,2017-6-17 16:52:42,2017-06-17 16:53:45,63
51,111,2017-6-17 16:49:32,2017-06-17 16:52:36,184
51,112,2017-6-17 16:44:15,2017-06-17 16:49:25,310
51,113,2017-6-17 16:40:28,2017-06-17 16:40:54,26
31,112,2017-6-17 15:20:01,2017-06-17 15:23:50,229
31,111,2017-6-17 15:10:19,2017-06-17 15:19:56,577
31,105,2017-6-17 15:09:30,2017-06-17 15:10:14,44
31,110,2017-6-17 15:08:09,2017-06-17 15:08:38,29
31,113,2017-6-17 15:07:31,2017-06-17 15:07:46,15
4,26,2017-6-17 02:46:06,2017-06-17 02:46:16,10
4,112,2017-6-17 02:44:12,2017-06-17 02:44:34,22
75,100,2017-6-16 16:19:15,2017-06-16 16:39:34,1219
75,99,2017-6-16 16:16:45,2017-06-16 16:18:40,115
75,98,2017-6-16 16:15:06,2017-06-16 16:16:24,78
20,94,2017-6-16 11:15:39,2017-06-16 11:15:53,14
20,112,2017-6-16 11:12:25,2017-06-16 11:15:30,185
55,110,2017-6-15 10:23:29,2017-06-15 10:23:44,15
57,109,2017-6-15 09:32:01,2017-06-15 09:34:24,143
57,109,2017-6-15 09:34:33,2017-06-15 09:50:18,945
57,108,2017-6-15 09:31:26,2017-06-15 09:31:45,19
57,107,2017-6-15 09:31:05,2017-06-15 09:31:10,5
57,105,2017-6-15 09:24:38,2017-06-15 09:29:49,311
57,105,2017-6-15 09:29:52,2017-06-15 09:30:01,9
57,110,2017-6-15 09:23:02,2017-06-15 09:24:04,62
57,110,2017-6-15 09:24:07,2017-06-15 09:24:21,14
57,106,2017-6-15 09:20:58,2017-06-15 09:21:05,7
57,111,2017-6-15 09:14:19,2017-06-15 09:20:33,374
67,106,2017-6-15 09:04:37,2017-06-15 09:07:10,153
34,108,2017-6-15 09:04:45,2017-06-15 09:05:37,52
