学生序号,总时间
12,4691.0
20,5286.0
31,5395.0
74,8002.0
53,3745.0
51,3072.0
4,32.0
75,6032.0
55,1616.0
57,5868.0
67,6894.0
34,4351.0
15,6441.0
49,10150.0
70,4736.0
46,3204.0
19,6787.0
58,6981.0
83,3520.0
30,7041.0
79,3067.0
71,6476.0
33,5996.0
18,3996.0
80,6512.0
59,8213.0
48,3993.0
45,5412.0
52,5496.0
38,6590.0
16,7197.0
11,2988.0
65,3981.0
29,4147.0
9,3763.0
35,9202.0
63,3335.0
73,6752.0
22,8993.0
25,5904.0
13,3494.0
54,8356.0
32,1706.0
8,6911.0
44,7695.0
68,2952.0
81,1353.0
69,4459.0
56,4172.0
77,8170.0
23,7795.0
66,5835.0
41,8734.0
36,3336.0
21,5702.0
39,4292.0
84,6412.0
64,2287.0
82,1812.0
28,3320.0
26,6839.0
43,5163.0
60,6426.0
91,2343.0
42,1339.0
62,307.0
87,3119.0
78,1475.0
