student,question,explanationText,score,upvotes,downvotes,postTimeStamp
4,111,,0,0,0,2017-07-03 02:31:35.645649+00:00
68,121,"union并没有学到。。。
",0,0,0,2017-06-30 12:04:23.876644+00:00
36,102,,0,0,0,2017-06-24 15:59:22.144236+00:00
26,16,,0,0,0,2017-06-24 15:57:45.135420+00:00
31,88,"？
",0,0,0,2017-06-24 15:56:13.907725+00:00
31,89,"？
",0,0,0,2017-06-24 15:52:21.687299+00:00
57,118,,0,0,0,2017-06-24 15:43:32.144342+00:00
31,68,"？
",0,0,0,2017-06-24 15:37:00.091889+00:00
39,118,"？
",0,0,0,2017-06-24 15:34:02.272122+00:00
39,116,"？
",0,0,0,2017-06-24 15:30:19.915328+00:00
39,112,"？
",0,0,0,2017-06-24 15:23:11.023016+00:00
26,71,,0,0,0,2017-06-24 14:58:55.647035+00:00
26,76,,0,0,0,2017-06-24 14:53:26.546531+00:00
54,88,"？
",0,0,0,2017-06-24 14:47:51.183240+00:00
68,118,,0,0,0,2017-06-24 14:35:49.147756+00:00
68,116,,0,0,0,2017-06-24 14:31:34.554229+00:00
68,112,,0,0,0,2017-06-24 14:25:55.468920+00:00
69,16,,0,0,0,2017-06-24 14:21:16.099841+00:00
81,119,,0,0,0,2017-06-24 14:19:35.920850+00:00
69,109,,0,0,0,2017-06-24 14:19:04.413001+00:00
81,118,,0,0,0,2017-06-24 14:18:35.615382+00:00
81,117,,0,0,0,2017-06-24 14:18:05.391249+00:00
56,118,这个题没有录完吧？,0,0,0,2017-06-24 14:17:52.897865+00:00
81,120,,0,0,0,2017-06-24 14:16:44.713482+00:00
81,116,,0,0,0,2017-06-24 14:15:58.361230+00:00
57,100,,0,0,0,2017-06-24 14:15:40.120926+00:00
81,115,,0,0,0,2017-06-24 14:15:08.466827+00:00
69,108,,0,0,0,2017-06-24 14:14:19.200339+00:00
81,114,,0,0,0,2017-06-24 14:14:18.047859+00:00
81,113,,0,0,0,2017-06-24 14:14:05.998021+00:00
81,113,,0,0,0,2017-06-24 14:14:05.924977+00:00
81,113,,0,0,0,2017-06-24 14:14:02.447370+00:00
81,112,,0,0,0,2017-06-24 14:12:39.061345+00:00
46,118,...,0,0,0,2017-06-24 14:12:33.618551+00:00
81,111,,0,0,0,2017-06-24 14:11:30.011649+00:00
81,105,,0,0,0,2017-06-24 14:10:53.280990+00:00
69,118,,0,0,0,2017-06-24 14:10:20.932835+00:00
81,105,,0,0,0,2017-06-24 14:10:13.571799+00:00
81,110,,0,0,0,2017-06-24 14:08:20.200921+00:00
81,109,,0,0,0,2017-06-24 14:07:05.717991+00:00
81,108,,0,0,0,2017-06-24 14:05:47.006312+00:00
81,107,,0,0,0,2017-06-24 14:05:27.106235+00:00
81,106,,0,0,0,2017-06-24 14:05:02.250693+00:00
81,103,,0,0,0,2017-06-24 14:04:08.325321+00:00
81,102,,0,0,0,2017-06-24 14:03:43.480734+00:00
81,102,,0,0,0,2017-06-24 14:03:12.413811+00:00
46,112,if的判断少了一个小括号吧,0,0,0,2017-06-24 13:58:19.561008+00:00
31,119,"~
",0,0,0,2017-06-24 13:57:37.540799+00:00
74,63,  ,0,0,0,2017-06-24 13:45:19.994534+00:00
36,29, ,0,0,0,2017-06-24 13:41:22.944029+00:00
36,20," 
",0,0,0,2017-06-24 13:37:41.541018+00:00
36,120, ,0,0,0,2017-06-24 13:28:39.165996+00:00
15,105,,0,0,0,2017-06-24 13:23:40.510942+00:00
69,116,,0,0,0,2017-06-24 13:23:17.248753+00:00
69,115,,0,0,0,2017-06-24 13:18:46.374570+00:00
69,111,,0,0,0,2017-06-24 13:14:01.998044+00:00
74,93,   ,0,0,0,2017-06-24 13:10:05.454252+00:00
69,105,,0,0,0,2017-06-24 13:05:59.125116+00:00
69,120,,0,0,0,2017-06-24 13:03:35.113939+00:00
69,120,,0,0,0,2017-06-24 13:03:24.322227+00:00
74,120,,0,0,0,2017-06-24 12:58:29.770789+00:00
63,104,  ,0,0,0,2017-06-24 12:29:01.771996+00:00
63,102,  ,0,0,0,2017-06-24 12:26:14.289976+00:00
63,96,  ,0,0,0,2017-06-24 12:14:47.521097+00:00
87,99,1,0,0,0,2017-06-24 12:14:03.286257+00:00
63,95,  ,0,0,0,2017-06-24 12:12:09.731120+00:00
63,88,  ,0,0,0,2017-06-24 12:06:29.483326+00:00
63,85,  ,0,0,0,2017-06-24 11:55:52.893301+00:00
